Type 4 ID,Type 4 Filename,Record ID,Model ID,Type,RefA,Aux
0x07608e5a,737804.4.bin,0x84204826,0xc1d09bdf,0x00380100,0x7ee4a941,0xd7e8b179
0x07608e5a,737804.4.bin,0x84204826,0xa6b9b4c7,0x00380100,0xe1add1bd,0x00000000
0x07608e5a,737804.4.bin,0x84204826,0xef10fad4,0x00380100,0xf20dc7b1,0x00000000
0x07608e5a,737804.4.bin,0x857a37a4,0x5738e448,0x00000000,0x857a37a4,0x4100ceee
0x07608e5a,737804.4.bin,0x8d59156c,0x6c7dcc23,0x00380100,0x8d59156c,0x00000000
0x07608e5a,737804.4.bin,0x9098183f,0x32293880,0x00380100,0xbc921aa6,0x00000000
0x07608e5a,737804.4.bin,0x927b251f,0xd1cae624,0x00380100,0xdda0987e,0x00000000
0x07608e5a,737804.4.bin,0x944af4be,0xef10fad4,0x00380100,0x530daae3,0x00000000
0x07608e5a,737804.4.bin,0x944af4be,0x3b66435f,0x00380100,0x58c70cd7,0x00000000
0x07608e5a,737804.4.bin,0x9478e8bf,0xa861c87d,0x00380100,0x3f1490d4,0x00000000
0x07608e5a,737804.4.bin,0x96b54794,0xf46e9681,0x00380100,0x96b54794,0xe256bc27
0x07608e5a,737804.4.bin,0x9ab8dacb,0xb67ece3b,0x00380100,0x9ab8dacb,0xa046e49d
0x07608e5a,737804.4.bin,0x9dd8ec97,0xfaf37ed6,0x00380100,0xd6764cdb,0x00000000
0x07608e5a,737804.4.bin,0xa41b7c5d,0x3fce5862,0x009ffc00,0xa41b7c5d,0x29f672c4
0x07608e5a,737804.4.bin,0xaf1e269e,0x8b8df0df,0x00e61e00,0xaf1e269e,0x9db5da79
0x07608e5a,737804.4.bin,0xb586d710,0xb2d31abe,0x00380100,0xb586d710,0xa4eb3018
0x07608e5a,737804.4.bin,0xb6718863,0xbd9aa11d,0x00380100,0xda25a0c0,0x00000000
0x07608e5a,737804.4.bin,0xb87ad46f,0xf4f4477b,0x09509b00,0xb87ad46f,0xe2cc6ddd
0x07608e5a,737804.4.bin,0xb89a5bf0,0xd6e2d156,0x00380100,0x480b6963,0x00000000
0x07608e5a,737804.4.bin,0xbb84b406,0xbf42caac,0x00380100,0xe14567cb,0x00000000
0x07608e5a,737804.4.bin,0xbf8fdbaa,0x462fb076,0x00380100,0x739fd0e4,0x50179ad0
0x07608e5a,737804.4.bin,0xbf8fdbaa,0xb240fbbb,0x00000000,0xbfc84f31,0x00000000
0x07608e5a,737804.4.bin,0xc171775f,0x15c7f38d,0x00000000,0xc171775f,0x03ffd92b
0x07608e5a,737804.4.bin,0xcadc58c6,0xc996b0b5,0x0a17b200,0xcadc58c6,0xdfae9a13
0x07608e5a,737804.4.bin,0xcca3bbcb,0xf75df0ee,0x0803a500,0xbfc1cce6,0x00000000
0x07608e5a,737804.4.bin,0xcebc5276,0x6fd91db3,0x00380100,0xcebc5276,0x79e13715
0x07608e5a,737804.4.bin,0xd27719ff,0x792377c2,0x00000000,0xd27719ff,0x6f1b5d64
0x07608e5a,737804.4.bin,0xdaf809c4,0x4616635f,0x00380100,0x459866d7,0x00000000
0x07608e5a,737804.4.bin,0xdde605ce,0x6381bf1b,0x08617500,0xdde605ce,0x00000000
0x07608e5a,737804.4.bin,0xe08f352c,0xef10fad4,0x00000000,0x0a79cbb2,0x00000000
0x07608e5a,737804.4.bin,0xe08f352c,0xfa13829d,0x00000000,0x80a9eb10,0xec2ba83b
0x07608e5a,737804.4.bin,0xe0cb7c23,0xc9e593ef,0x00380100,0xe0cb7c23,0xdfddb949
0x07608e5a,737804.4.bin,0xe51264e1,0xecb84d74,0x00380100,0x551603dc,0x00000000
0x07608e5a,737804.4.bin,0xe999b707,0x26677aa8,0x00380100,0x8851f2cd,0x305f500e
0x07608e5a,737804.4.bin,0xe999b707,0xef10fad4,0x00000000,0xd468fb0a,0x00000000
0x07608e5a,737804.4.bin,0xeaca1515,0x7acd777d,0x00000000,0xeaca1515,0x6cf55ddb
0x07608e5a,737804.4.bin,0xeb3f3abb,0x4c7d348b,0x00380100,0xeb3f3abb,0x5a451e2d
0x07608e5a,737804.4.bin,0xefd744c7,0xe7d209a8,0x00380100,0xafe8a95a,0x00000000
0x07608e5a,737804.4.bin,0xfbeb6e78,0x7f0661b2,0x0a32ec00,0xfbeb6e78,0x693e4b14
0x07608e5a,737804.4.bin,0xfc18ed13,0xaa86da3d,0x00000000,0xfc18ed13,0xbcbef09b
0x0cb33492,1104104.4.bin,0x00453f22,0x85d59ad4,0x00000000,0x00453f22,0x93edb072
0x0cb33492,1104104.4.bin,0x02064d22,0x9ccb3932,0x00000000,0x02064d22,0x8af31394
0x0cb33492,1104104.4.bin,0x05a1d5d0,0xcaae9512,0x00000000,0x05a1d5d0,0xdc96bfb4
0x0cb33492,1104104.4.bin,0x0608c07b,0x2f8fdaaa,0x00000000,0x0608c07b,0x39b7f00c
0x0cb33492,1104104.4.bin,0x0766109b,0x84385ae4,0x00380100,0x73f4a8e1,0x00000000
0x0cb33492,1104104.4.bin,0x08126717,0x0a3d1e0d,0x0a467000,0x08126717,0x1c0534ab
0x0cb33492,1104104.4.bin,0x0a86d48c,0x8e5ad5b9,0x00380100,0x0a86d48c,0x9862ff1f
0x0cb33492,1104104.4.bin,0x0d77b36f,0xb1229935,0x0a466f00,0x0d77b36f,0xa71ab393
0x0cb33492,1104104.4.bin,0x11985e02,0x6b078f15,0x00380100,0xa774bf57,0x00000000
